# Date,Open,High,Low,Close,Adjusted,Volume
2022-11-03,12.01,12.38,11.99,12.19,11.08,23641000
2022-11-04,12.35,12.42,12.05,12.3,11.18,17958200
2022-11-07,12.37,12.43,12.26,12.39,11.26,12876800
2022-11-08,12.43,12.43,12.23,12.27,11.15,14898200
2022-11-09,12.2,12.22,11.89,11.97,10.88,13683800
2022-11-10,12.2,12.41,12.13,12.32,11.20,13359400
2022-11-11,12.4,12.46,12.09,12.2,11.09,16960800
2022-11-14,12.2,12.4,12.01,12.03,10.94,12506700
2022-11-15,12.12,12.24,11.96,12.04,10.95,18907900
2022-11-16,12.05,12.11,11.88,12.11,11.01,13903900
2022-11-17,11.97,12.03,11.91,11.95,10.86,12749600
2022-11-18,11.94,12.19,11.84,12.17,11.06,13870600
2022-11-21,12.13,12.17,11.85,12.16,11.05,16642400
2022-11-22,12.18,12.49,12.18,12.49,11.35,16312900
2022-11-23,12.34,12.46,12.33,12.43,11.30,8746400
2022-11-25,12.4,12.47,12.35,12.36,11.24,4024200
2022-11-28,12.18,12.32,12.13,12.15,11.05,11178700
2022-11-29,12.22,12.44,12.21,12.41,11.28,12513700
2022-11-30,12.5,12.54,12.35,12.54,11.40,17082500
2022-12-01,12.54,12.62,12.41,12.44,11.31,10953200
2022-12-02,12.34,12.53,12.32,12.53,11.39,10036500
2022-12-05,12.57,12.62,12.16,12.18,11.07,14456700
2022-12-06,12.19,12.28,11.88,11.94,10.85,15234100
2022-12-07,11.91,12.03,11.81,11.91,10.83,11626300
2022-12-08,12.05,12.11,11.67,11.7,10.64,16872000
2022-12-09,11.73,11.75,11.4,11.42,10.38,19643700
2022-12-12,11.47,11.73,11.4,11.7,10.64,16470400
2022-12-13,11.88,11.96,11.65,11.91,10.83,16687800
2022-12-14,11.92,11.94,11.68,11.79,10.72,14450200
2022-12-15,11.69,11.73,11.45,11.66,10.60,14763400
2022-12-16,11.5,11.67,11.37,11.66,10.60,20090900
2022-12-19,11.73,11.75,11.47,11.56,10.51,15059300
2022-12-20,11.52,11.74,11.42,11.68,10.62,16339800
2022-12-21,11.77,11.98,11.7,11.95,10.86,18758800
2022-12-22,11.86,11.88,11.52,11.81,10.74,17559400
2022-12-23,11.8,12,11.72,11.96,10.87,17927400
2022-12-27,11.9,11.93,11.81,11.9,10.82,12203600
2022-12-28,11.8,11.85,11.65,11.67,10.61,9936300
2022-12-29,11.65,11.93,11.62,11.86,10.78,8617000
2022-12-30,11.75,11.9,11.7,11.87,10.79,7244200
2023-01-03,11.9,11.93,11.5,11.62,10.56,12535000
2023-01-04,11.6,11.82,11.55,11.66,10.60,12865200
2023-01-05,11.63,11.96,11.63,11.93,10.85,12246200
2023-01-06,12,12.19,11.98,12.15,11.05,11341400
2023-01-09,12.32,12.43,12.25,12.31,11.19,12347100
2023-01-10,12.38,12.41,12.24,12.39,11.26,8750400
2023-01-11,12.48,12.58,12.44,12.53,11.39,8658800
2023-01-12,12.62,12.76,12.53,12.64,11.49,10386800
2023-01-13,12.64,12.68,12.56,12.67,11.52,5837500
2023-01-17,12.69,12.85,12.61,12.62,11.47,14703200
2023-01-18,12.77,12.89,12.5,12.51,11.37,13843100
2023-01-19,12.5,12.63,12.42,12.6,11.45,11364400
2023-01-20,12.76,12.8,12.62,12.76,11.60,10182900
2023-01-23,12.95,13.07,12.85,13.01,11.83,17524100
2023-01-24,12.99,13.67,12.84,13.07,11.88,10545400
2023-01-25,13.04,13.17,12.86,13.15,11.95,11125100
2023-01-26,13.47,13.53,13.12,13.5,12.27,24145900
2023-01-27,13.52,13.57,13.27,13.36,12.15,16136300
2023-01-30,13.36,13.37,13.06,13.1,11.91,34494700
2023-01-31,13.16,13.28,13.03,13.28,12.07,13143400
2023-02-01,13.35,13.36,13.02,13.07,11.88,24295600
2023-02-02,13.17,13.33,13.1,13.28,12.07,16323500
2023-02-03,13.35,13.51,13.25,13.28,12.07,18015700
2023-02-06,13.04,13.09,12.82,12.98,12.08,16139500
2023-02-07,13.03,13.07,12.77,12.85,11.96,12692900
2023-02-08,12.9,12.92,12.73,12.78,11.89,15961400
2023-02-09,12.88,12.89,12.7,12.76,11.87,9458100
2023-02-10,12.78,12.93,12.78,12.84,11.95,9734600
2023-02-13,12.87,13.03,12.82,12.95,12.05,9203200
2023-02-14,12.95,13.19,12.9,13.09,12.18,10596500
2023-02-15,13.09,13.14,12.78,13.14,12.23,9922600
2023-02-16,12.95,13.25,12.95,13.05,12.14,17515400
2023-02-17,12.95,12.98,12.7,12.87,11.98,13445300
2023-02-21,12.86,12.97,12.7,12.74,11.85,12948700
2023-02-22,12.9,13.04,12.71,13,12.10,13906200
2023-02-23,13.14,13.18,12.96,13.01,12.11,12273600
2023-02-24,12.95,12.97,12.81,12.86,11.97,11848500
2023-02-27,13,13,12.73,12.76,11.87,11867700
2023-02-28,12.8,12.83,12.66,12.66,11.78,10127300
2023-03-01,12.69,12.85,12.63,12.79,11.90,12046500
2023-03-02,12.75,12.98,12.68,12.95,12.05,10553700
2023-03-03,12.9,13.12,12.87,13.05,12.14,13324000
2023-03-06,13.06,13.25,12.96,13.2,12.28,9810400
2023-03-07,13.24,13.25,13,13.13,12.22,11204700
2023-03-08,13.11,13.19,12.93,13.16,12.24,12026300
2023-03-09,13.19,13.21,12.87,12.9,12.00,8986600
2023-03-10,12.92,12.98,12.52,12.6,11.72,17618100
2023-03-13,12.44,12.51,11.94,12.26,11.41,27275200
2023-03-14,12.4,12.69,12.21,12.34,11.48,11223200
2023-03-15,12.05,12.13,11.65,11.94,11.11,28747400
2023-03-16,11.8,12.26,11.56,12.25,11.40,21766000
2023-03-17,12.23,12.25,11.82,11.99,11.16,22859800
2023-03-20,11.99,12.16,11.8,11.84,11.02,12118800
2023-03-21,11.99,12.16,11.97,12.11,11.27,9857000
2023-03-22,12.11,12.11,11.75,11.76,10.94,11738900
2023-03-23,11.88,12,11.56,11.68,10.87,12792000
2023-03-24,11.52,11.77,11.45,11.7,10.89,11410800
2023-03-27,11.83,11.92,11.59,11.84,11.02,12296800
2023-03-28,11.81,12.11,11.79,12.05,11.21,9275300
2023-03-29,12.16,12.29,12.06,12.2,11.35,9687000
2023-03-30,12.3,12.45,12.18,12.44,11.58,8488300
2023-03-31,12.46,12.5,12.38,12.47,11.60,7379200
2023-04-03,12.73,12.95,12.7,12.82,11.93,14849900
2023-04-04,12.93,12.93,12.59,12.75,11.86,9375500
2023-04-05,12.78,12.8,12.61,12.76,11.87,7046400
2023-04-06,12.8,12.8,12.49,12.51,11.64,9591900
2023-04-10,12.5,12.65,12.48,12.51,11.64,6674800
2023-04-11,12.54,12.64,12.51,12.56,11.69,9861200
2023-04-12,12.66,12.75,12.6,12.62,11.74,5286300
2023-04-13,12.64,12.8,12.61,12.76,11.87,6068800
2023-04-14,12.79,12.85,12.75,12.84,11.95,4999400
2023-04-17,12.89,12.95,12.77,12.88,11.98,7517800
2023-04-18,12.9,12.99,12.86,12.91,12.01,6471900
2023-04-19,12.85,12.89,12.67,12.68,11.80,8829100
2023-04-20,12.64,12.75,12.58,12.67,11.79,6181600
2023-04-21,12.71,12.79,12.65,12.77,11.88,5665700
2023-04-24,12.78,12.81,12.63,12.69,11.81,8279200
2023-04-25,12.67,12.67,12.5,12.53,11.66,8784900
2023-04-26,12.54,12.64,12.43,12.48,11.61,6977700
2023-04-27,12.52,12.84,12.46,12.79,11.90,10035600
2023-04-28,12.83,12.95,12.77,12.88,11.98,10366100
2023-05-01,12.93,13.09,12.88,12.91,12.01,12632100
2023-05-02,12.97,12.97,12.5,12.69,11.81,16881000
2023-05-03,12.62,12.9,12.53,12.66,11.78,15148100
2023-05-04,12.75,12.81,12.51,12.61,11.73,15437900
2023-05-05,12.5,12.61,12.32,12.36,11.79,13289300
2023-05-08,12.45,12.46,12.26,12.33,11.76,8989100
2023-05-09,12.25,12.52,12.18,12.5,11.92,12535900
2023-05-10,12.47,12.52,12.29,12.45,11.87,7074400
2023-05-11,12.31,12.38,12.23,12.34,11.77,7408600
2023-05-12,12.36,12.43,12.21,12.32,11.75,8367300
2023-05-15,12.34,12.59,12.32,12.51,11.93,13349500
2023-05-16,12.5,12.56,12.34,12.46,11.88,11529900
2023-05-17,12.53,12.66,12.47,12.53,11.95,9024500
2023-05-18,12.56,12.77,12.52,12.72,12.13,10004900
2023-05-19,12.77,12.84,12.7,12.76,12.17,6248200
2023-05-22,12.86,12.89,12.66,12.73,12.14,13233000
2023-05-23,12.74,12.93,12.68,12.76,12.17,11166300
2023-05-24,12.87,12.87,12.67,12.8,12.21,6537700
2023-05-25,12.78,12.78,12.62,12.73,12.14,8808900
2023-05-26,12.78,12.79,12.6,12.65,12.07,8693300
2023-05-30,12.61,12.61,12.36,12.49,11.91,9932300
2023-05-31,12.42,12.48,12.31,12.4,11.83,8956400
2023-06-01,12.46,12.65,12.4,12.6,12.02,7634900
2023-06-02,12.71,12.96,12.69,12.88,12.28,11083800
2023-06-05,12.95,13.02,12.78,12.89,12.29,5828800
2023-06-06,12.86,12.98,12.82,12.91,12.31,7429000
2023-06-07,12.91,13.01,12.88,12.9,12.30,10924000
2023-06-08,12.91,12.93,12.82,12.89,12.29,9433400
2023-06-09,12.84,12.87,12.68,12.74,12.15,10061900
2023-06-12,12.68,12.71,12.55,12.61,12.03,9896500
2023-06-13,12.66,12.8,12.61,12.67,12.08,7070900
